ID,Funcionario_ID,PDI_ID,Area,Lideranca,Data_Inicio,Data_Conclusao_Planejada,Data_Conclusao_Real,Status,Aderencia_Percentual,Evolucao_Competencias
52,45,385,Tecnologia,Líder 43,2024-02-10,2024-12-31,2024-03-15,Concluído,81.81,6.5
53,46,173,Gente & Gestão,Líder 28,2024-05-16,2024-08-14,2024-05-23,Concluído,70.42,7.14
54,46,455,Gente & Gestão,Líder 22,2023-03-27,2023-12-22,,Em Andamento,33.22,4.55
55,49,268,Operações,Líder 27,2024-12-16,2024-12-31,2024-12-31,Concluído,81.82,6.32
56,49,173,Operações,Líder 48,2024-12-16,2024-12-31,2024-12-31,Concluído,76.44,7.58
57,49,3,Operações,Líder 48,2024-12-18,2024-12-31,2024-12-24,Concluído,88.03,7.58
58,51,451,Suporte,Líder 29,2023-12-14,2024-04-12,2024-02-07,Concluído,82.45,8.84
59,51,219,Suporte,Líder 25,2024-01-04,2024-08-31,2024-10-19,Concluído,70.22,9.88
60,51,492,Suporte,Líder 41,2023-10-08,2024-09-02,2024-10-28,Concluído,89.65,7.62
61,52,20,Suporte,Líder 29,2023-12-13,2024-11-07,,Em Andamento,36.8,7.88
62,52,78,Suporte,Líder 27,2023-10-02,2024-02-29,2024-04-02,Concluído,87.69,7.99
63,52,215,Suporte,Líder 11,2023-12-19,2024-09-14,2024-08-25,Concluído,83.52,8.92
64,53,174,Financeiro,Líder 30,2024-07-17,2024-11-14,2024-12-31,Concluído,82.53,8.83
65,53,318,Financeiro,Líder 7,2023-09-18,2023-12-17,2023-12-04,Concluído,79.1,8.19
66,55,11,Produto,Líder 25,2024-12-13,2024-12-31,2024-12-31,Concluído,83.74,8.31
67,55,485,Produto,Líder 21,2023-02-21,2024-02-16,2023-12-30,Concluído,91.52,7.22
68,56,347,Atendimento,Líder 44,2023-06-02,2023-08-31,2023-07-28,Concluído,76.83,8.58
69,56,321,Atendimento,Líder 49,2023-04-11,2023-07-10,2023-07-05,Concluído,99.74,9.98
70,56,168,Atendimento,Líder 24,2023-06-25,2023-10-23,,Cancelado,0.36,3.63
71,57,168,Tecnologia,Líder 18,2024-10-08,2024-12-31,2024-12-31,Concluído,88.21,6.11
72,57,254,Tecnologia,Líder 5,2024-12-30,2024-12-31,2024-12-31,Concluído,75.25,9.35
73,57,243,Tecnologia,Líder 24,2024-11-03,2024-12-31,2024-12-05,Concluído,70.25,8.43
74,58,465,Gente & Gestão,Líder 9,2024-05-23,2024-10-20,2024-05-24,Concluído,92.67,7.98
75,58,132,Gente & Gestão,Líder 42,2024-10-15,2024-12-31,2024-11-17,Concluído,95.95,7.0
76,58,433,Gente & Gestão,Líder 18,2024-06-14,2024-09-12,2024-10-06,Concluído,82.45,8.92
77,59,237,Vendas,Líder 45,2022-09-13,2022-12-12,,Em Andamento,31.69,5.01
78,59,404,Vendas,Líder 22,2024-01-24,2024-09-20,2024-11-16,Concluído,88.68,6.45
79,59,207,Vendas,Líder 37,2022-11-14,2023-05-13,2023-02-05,Concluído,71.18,6.2
80,61,473,Financeiro,Líder 35,2024-10-31,2024-12-31,2024-12-31,Concluído,89.32,7.92
81,61,107,Financeiro,Líder 15,2024-08-25,2024-12-31,2024-12-29,Concluído,90.31,9.5
82,61,240,Financeiro,Líder 47,2024-11-24,2024-12-31,2024-12-31,Concluído,82.4,6.42
83,63,131,Comercial,Líder 34,2024-08-11,2024-12-31,,Cancelado,28.92,5.7
84,64,91,Vendas,Líder 28,2024-12-18,2024-12-31,2024-12-25,Concluído,87.17,8.3
85,64,296,Vendas,Líder 44,2024-12-09,2024-12-31,2024-12-31,Concluído,89.73,9.86
86,65,104,Gente & Gestão,Líder 37,2024-07-28,2024-12-31,2024-12-31,Concluído,77.74,6.67
87,66,149,Inovação,Líder 34,2024-03-16,2024-12-11,,Em Andamento,66.46,7.3
88,67,378,Produto,Líder 13,2024-11-09,2024-12-31,,Em Andamento,76.76,7.56
89,67,436,Produto,Líder 43,2024-10-17,2024-12-31,,Em Andamento,40.22,5.18
90,68,264,Operações,Líder 35,2024-08-28,2024-11-26,2024-12-31,Concluído,83.53,9.66
91,68,496,Operações,Líder 25,2023-10-02,2024-09-26,2024-10-26,Concluído,92.01,8.51
92,68,404,Operações,Líder 43,2024-01-27,2024-08-24,2024-03-15,Concluído,91.98,7.66
93,69,223,Produto,Líder 41,2024-10-08,2024-12-31,,Em Andamento,71.66,7.57
94,69,490,Produto,Líder 20,2024-08-11,2024-12-09,,Em Andamento,48.91,7.3
95,69,325,Produto,Líder 39,2024-08-01,2024-12-31,2024-11-24,Concluído,93.05,6.38
96,70,45,Tecnologia,Líder 32,2024-10-15,2024-12-31,2024-12-31,Concluído,89.2,6.75
97,71,139,Qualidade,Líder 50,2023-08-06,2024-07-31,,Em Andamento,66.17,7.3
98,71,301,Qualidade,Líder 1,2024-03-30,2024-08-27,2024-07-15,Concluído,87.0,9.89
99,72,454,Qualidade,Líder 48,2024-07-20,2024-10-18,2024-09-15,Concluído,91.49,8.8
100,72,389,Qualidade,Líder 12,2024-04-11,2024-12-31,,Em Andamento,48.58,6.68
101,72,34,Qualidade,Líder 26,2024-01-21,2024-04-20,2024-05-20,Concluído,79.1,7.79
102,73,359,Suporte,Líder 23,2023-05-03,2024-01-28,2024-02-26,Concluído,71.23,8.83
103,73,151,Suporte,Líder 46,2023-09-13,2024-05-10,,Em Andamento,47.37,5.0
104,74,123,Tecnologia,Líder 28,2024-09-16,2024-12-31,2024-12-31,Concluído,91.2,8.21
105,76,254,Inovação,Líder 33,2023-02-19,2023-09-17,2023-10-18,Concluído,98.32,7.74
106,77,281,Atendimento,Líder 48,2024-03-22,2024-12-31,2024-12-31,Concluído,90.77,6.8
107,77,124,Atendimento,Líder 8,2024-03-23,2024-10-19,,Em Andamento,68.83,5.68
108,79,393,Inovação,Líder 40,2024-09-26,2024-12-31,,Cancelado,5.69,4.13
109,79,401,Inovação,Líder 17,2024-06-14,2024-12-11,2024-08-19,Concluído,87.72,6.07
110,79,345,Inovação,Líder 24,2024-08-10,2024-11-08,2024-10-04,Concluído,81.13,7.21
111,80,488,Atendimento,Líder 16,2024-01-18,2024-08-15,2024-07-01,Concluído,86.98,6.22
112,81,213,Atendimento,Líder 32,2023-06-14,2024-05-09,2024-04-04,Concluído,74.06,8.63
113,81,247,Atendimento,Líder 39,2022-12-13,2023-03-13,2023-04-02,Concluído,70.82,9.3
114,81,196,Atendimento,Líder 24,2023-10-31,2024-10-25,,Em Andamento,64.12,7.52
115,82,347,Marketing,Líder 43,2023-11-27,2024-09-22,2024-09-07,Concluído,83.91,9.06
116,82,257,Marketing,Líder 45,2023-09-17,2024-04-14,2024-02-26,Concluído,99.02,8.83
117,83,76,Vendas,Líder 33,2023-10-06,2024-02-03,2023-12-15,Concluído,79.61,9.46
118,83,58,Vendas,Líder 47,2024-10-09,2024-12-31,2024-12-31,Concluído,97.25,8.32
119,84,69,Qualidade,Líder 34,2024-04-15,2024-08-13,,Em Andamento,23.76,4.12
120,84,26,Qualidade,Líder 33,2023-09-20,2024-05-17,2024-04-25,Concluído,80.47,6.14
121,84,62,Qualidade,Líder 5,2023-06-01,2023-11-28,2023-08-25,Concluído,90.85,8.76
122,87,93,Atendimento,Líder 1,2023-07-13,2024-06-07,2023-09-15,Concluído,82.38,8.3
123,87,241,Atendimento,Líder 24,2023-05-03,2023-12-29,,Cancelado,17.87,4.16
124,87,474,Atendimento,Líder 36,2023-09-05,2024-08-30,,Cancelado,25.67,3.76
125,88,408,Operações,Líder 6,2024-03-06,2024-10-02,2024-05-02,Concluído,86.99,7.84
126,88,44,Operações,Líder 18,2024-11-07,2024-12-31,2024-12-31,Concluído,98.94,7.03
127,89,92,Marketing,Líder 23,2024-08-28,2024-12-26,,Em Andamento,61.07,4.76
128,89,209,Marketing,Líder 22,2024-10-02,2024-12-31,,Cancelado,15.2,2.12
129,89,76,Marketing,Líder 44,2024-12-22,2024-12-31,2024-12-31,Concluído,79.35,9.7
130,91,48,Inovação,Líder 25,2024-07-13,2024-12-31,,Cancelado,11.0,5.63
131,92,300,Suporte,Líder 44,2024-07-09,2024-12-31,2024-12-31,Concluído,71.4,7.56
132,94,496,Gente & Gestão,Líder 49,2024-12-22,2024-12-31,2024-12-31,Concluído,74.96,9.47
133,94,295,Gente & Gestão,Líder 50,2024-12-23,2024-12-31,,Em Andamento,47.59,7.03
134,94,447,Gente & Gestão,Líder 35,2024-12-26,2024-12-31,2024-12-31,Concluído,82.61,8.3
135,95,390,Qualidade,Líder 14,2023-03-08,2023-08-05,2023-07-13,Concluído,97.2,6.48
136,96,458,Comercial,Líder 49,2023-07-11,2024-07-05,2024-04-19,Concluído,95.46,7.99
137,97,378,Marketing,Líder 18,2023-07-23,2024-06-17,2023-09-06,Concluído,70.09,8.36
138,97,494,Marketing,Líder 35,2024-07-13,2024-12-31,2024-08-26,Concluído,94.04,8.89
139,98,66,Inovação,Líder 16,2024-10-02,2024-12-31,2024-12-19,Concluído,76.5,8.02
140,99,116,Inovação,Líder 41,2024-01-17,2024-06-15,2024-07-14,Concluído,86.13,8.93
141,99,395,Inovação,Líder 13,2024-06-10,2024-12-31,2024-12-31,Concluído,80.13,8.76
142,99,47,Inovação,Líder 29,2024-09-12,2024-12-11,2024-10-14,Concluído,78.89,8.37
143,100,402,Suporte,Líder 43,2024-06-19,2024-12-31,2024-12-19,Concluído,73.1,6.31
144,100,449,Suporte,Líder 34,2024-08-15,2024-12-13,2024-12-31,Concluído,95.35,7.66
145,100,247,Suporte,Líder 48,2024-05-14,2024-09-11,2024-05-23,Concluído,71.43,8.9
146,101,149,Qualidade,Líder 19,2024-09-18,2024-12-31,2024-11-10,Concluído,82.93,9.77
147,101,315,Qualidade,Líder 1,2024-06-22,2024-09-20,2024-07-09,Concluído,78.24,7.73
148,101,392,Qualidade,Líder 35,2024-02-27,2024-10-24,2024-04-10,Concluído,78.59,6.48
149,102,11,Financeiro,Líder 41,2024-12-11,2024-12-31,,Cancelado,0.16,4.95
150,103,239,Atendimento,Líder 40,2024-07-14,2024-12-31,2024-11-20,Concluído,98.64,7.38
151,103,286,Atendimento,Líder 26,2024-12-07,2024-12-31,2024-12-31,Concluído,87.48,7.47
152,104,253,Tecnologia,Líder 39,2024-12-06,2024-12-31,,Em Andamento,61.51,6.94
153,104,112,Tecnologia,Líder 19,2024-11-13,2024-12-31,,Em Andamento,63.48,4.55
154,105,63,Atendimento,Líder 14,2024-05-07,2024-12-31,,Em Andamento,38.51,6.46
155,106,16,Comercial,Líder 14,2024-06-25,2024-09-23,2024-07-21,Concluído,74.24,7.74
156,106,416,Comercial,Líder 29,2024-11-01,2024-12-31,2024-12-31,Concluído,74.36,7.03
157,106,173,Comercial,Líder 47,2023-10-13,2024-10-07,2024-03-26,Concluído,95.34,7.46
158,107,3,Atendimento,Líder 9,2024-08-09,2024-12-07,,Em Andamento,41.79,5.91
159,108,261,Marketing,Líder 15,2024-12-19,2024-12-31,,Em Andamento,74.68,5.91
160,108,185,Marketing,Líder 34,2024-12-26,2024-12-31,2024-12-31,Concluído,77.73,8.73
161,108,149,Marketing,Líder 44,2024-12-16,2024-12-31,2024-12-31,Concluído,71.31,9.05
162,109,168,Produto,Líder 12,2024-01-07,2024-05-06,2024-03-24,Concluído,90.59,7.07
163,109,314,Produto,Líder 38,2023-12-05,2024-03-04,2024-03-02,Concluído,92.93,8.31
164,109,396,Produto,Líder 41,2024-01-20,2024-12-15,2024-12-21,Concluído,77.42,6.96
165,110,440,Qualidade,Líder 17,2023-08-03,2023-12-01,2023-08-09,Concluído,73.61,7.99
166,110,180,Qualidade,Líder 50,2023-01-28,2023-05-28,2023-05-09,Concluído,85.74,9.05
167,110,416,Qualidade,Líder 25,2023-07-12,2024-04-07,2024-03-31,Concluído,86.7,8.19
168,111,366,Qualidade,Líder 22,2024-12-29,2024-12-31,2024-12-31,Concluído,74.11,8.02
169,112,448,Produto,Líder 40,2024-02-07,2024-12-03,2024-06-07,Concluído,71.38,9.05
170,113,228,Comercial,Líder 8,2024-09-13,2024-12-31,2024-12-31,Concluído,80.04,7.77
171,113,435,Comercial,Líder 9,2024-07-11,2024-11-08,2024-08-22,Concluído,99.28,9.4
172,114,340,Inovação,Líder 42,2023-04-30,2023-11-26,2024-01-20,Concluído,89.72,9.57
173,115,85,Atendimento,Líder 7,2024-10-20,2024-12-31,2024-12-31,Concluído,83.18,7.74
174,115,105,Atendimento,Líder 17,2024-11-27,2024-12-31,2024-12-31,Concluído,92.37,9.5
175,116,474,Financeiro,Líder 46,2023-12-09,2024-12-03,,Em Andamento,75.35,6.17
176,117,210,Marketing,Líder 28,2024-02-11,2024-08-09,,Em Andamento,77.95,6.59
177,118,395,Atendimento,Líder 18,2024-11-22,2024-12-31,,Em Andamento,67.18,6.81
178,118,464,Atendimento,Líder 48,2024-11-21,2024-12-31,2024-12-15,Concluído,90.9,6.87
179,119,35,Financeiro,Líder 5,2024-04-13,2024-07-12,2024-06-07,Concluído,73.86,8.27
180,119,261,Financeiro,Líder 4,2024-07-24,2024-12-31,,Em Andamento,31.7,4.24
181,120,484,Marketing,Líder 24,2023-10-01,2023-12-30,2023-12-20,Concluído,85.34,9.88
182,120,224,Marketing,Líder 31,2024-11-07,2024-12-31,2024-12-31,Concluído,94.69,8.89
183,120,204,Marketing,Líder 19,2024-04-17,2024-07-16,,Em Andamento,28.39,7.39
184,122,410,Vendas,Líder 18,2024-05-04,2024-12-31,2024-11-13,Concluído,85.31,8.14
185,122,59,Vendas,Líder 16,2022-12-08,2023-08-05,2023-01-20,Concluído,86.07,6.76
186,122,102,Vendas,Líder 45,2023-11-17,2024-06-14,,Cancelado,28.45,3.82
187,123,175,Vendas,Líder 6,2024-12-30,2024-12-31,2024-12-31,Concluído,82.07,8.93
188,124,269,Tecnologia,Líder 20,2022-11-29,2023-04-28,2023-04-19,Concluído,76.45,8.15
189,124,277,Tecnologia,Líder 11,2023-11-28,2024-06-25,,Em Andamento,20.78,6.76
190,125,284,Qualidade,Líder 11,2024-06-05,2024-12-31,2024-12-31,Concluído,80.05,8.92
191,125,489,Qualidade,Líder 30,2023-03-11,2023-07-09,2023-05-29,Concluído,76.28,9.02
192,126,16,Financeiro,Líder 42,2022-11-24,2023-07-22,,Cancelado,4.07,4.97
193,126,471,Financeiro,Líder 39,2023-08-12,2024-08-06,2024-03-31,Concluído,89.62,8.96
194,126,366,Financeiro,Líder 27,2022-11-09,2023-04-08,2023-01-03,Concluído,90.55,8.93
195,127,480,Gente & Gestão,Líder 8,2023-09-24,2024-05-21,2024-04-22,Concluído,84.11,8.79
196,128,494,Financeiro,Líder 16,2024-11-02,2024-12-31,,Cancelado,28.26,3.87
197,129,92,Vendas,Líder 39,2024-11-25,2024-12-31,2024-11-28,Concluído,97.58,6.22
198,130,324,Atendimento,Líder 27,2023-04-30,2023-12-26,2023-09-17,Concluído,82.13,7.94
199,130,17,Atendimento,Líder 32,2023-08-25,2024-06-20,,Em Andamento,63.26,7.38
200,130,82,Atendimento,Líder 31,2024-08-13,2024-12-31,2024-12-31,Concluído,90.01,6.02
201,131,257,Produto,Líder 24,2023-02-03,2023-10-01,2023-03-20,Concluído,85.36,6.07
202,131,400,Produto,Líder 42,2024-04-07,2024-11-03,2024-05-29,Concluído,83.15,7.15
203,132,76,Vendas,Líder 14,2023-11-23,2024-05-21,2024-02-09,Concluído,96.23,9.57
204,132,452,Vendas,Líder 40,2024-04-09,2024-09-06,,Cancelado,39.43,2.3
205,133,455,Inovação,Líder 38,2022-04-17,2022-12-13,2023-01-10,Concluído,73.9,9.42
206,133,38,Inovação,Líder 48,2024-02-06,2024-06-05,2024-02-17,Concluído,96.76,9.15
207,133,152,Inovação,Líder 43,2024-04-07,2024-12-31,2024-07-30,Concluído,81.96,9.48
208,135,355,Gente & Gestão,Líder 24,2024-05-22,2024-12-18,,Em Andamento,24.12,6.44
209,136,69,Operações,Líder 33,2023-12-01,2024-07-28,2024-02-26,Concluído,72.01,9.21
210,136,408,Operações,Líder 43,2024-12-06,2024-12-31,2024-12-30,Concluído,92.18,8.25
211,137,159,Vendas,Líder 42,2024-04-28,2024-12-31,2024-12-31,Concluído,80.54,8.82
212,138,229,Suporte,Líder 7,2024-11-30,2024-12-31,2024-12-07,Concluído,76.34,7.63
213,139,84,Atendimento,Líder 16,2023-09-07,2024-07-03,2024-06-07,Concluído,80.7,9.53
214,139,49,Atendimento,Líder 34,2024-01-22,2024-09-18,2024-06-13,Concluído,71.95,8.11
215,139,324,Atendimento,Líder 16,2023-04-23,2023-09-20,2023-09-23,Concluído,84.16,8.12
216,140,98,Comercial,Líder 41,2024-02-19,2024-07-18,2024-03-26,Concluído,83.59,6.92
217,141,131,Qualidade,Líder 3,2024-05-25,2024-08-23,2024-05-25,Concluído,94.8,7.37
218,142,44,Suporte,Líder 45,2024-10-31,2024-12-31,2024-12-25,Concluído,92.96,9.16
219,142,269,Suporte,Líder 44,2024-03-20,2024-08-17,,Cancelado,14.37,5.87
220,142,105,Suporte,Líder 36,2024-10-01,2024-12-31,2024-12-04,Concluído,98.46,6.01
221,143,286,Marketing,Líder 45,2023-04-18,2023-08-16,2023-05-26,Concluído,76.72,6.83
222,143,167,Marketing,Líder 5,2024-01-10,2024-10-06,2024-05-03,Concluído,88.61,7.77
223,143,280,Marketing,Líder 31,2023-01-21,2023-09-18,2023-11-11,Concluído,92.69,8.92
224,144,380,Atendimento,Líder 24,2024-12-18,2024-12-31,2024-12-31,Concluído,94.53,8.34
225,144,463,Atendimento,Líder 18,2024-12-13,2024-12-31,2024-12-25,Concluído,70.3,7.63
226,144,436,Atendimento,Líder 41,2024-12-29,2024-12-31,,Cancelado,13.02,3.54
227,145,341,Operações,Líder 41,2024-01-15,2024-07-13,2024-06-29,Concluído,72.3,7.79
228,147,419,Vendas,Líder 20,2024-11-05,2024-12-31,2024-12-31,Concluído,95.13,6.02
229,149,386,Inovação,Líder 27,2024-03-27,2024-11-22,2024-12-23,Concluído,85.89,7.4
230,150,271,Marketing,Líder 49,2024-07-11,2024-12-31,,Em Andamento,54.03,5.36
231,150,464,Marketing,Líder 30,2024-06-14,2024-12-31,,Cancelado,0.87,5.84
232,151,157,Atendimento,Líder 13,2023-12-14,2024-03-13,2023-12-29,Concluído,87.99,6.58
233,151,87,Atendimento,Líder 29,2024-05-11,2024-12-31,,Em Andamento,53.39,4.51
234,151,42,Atendimento,Líder 7,2024-08-13,2024-11-11,2024-11-03,Concluído,95.72,7.77
235,154,199,Tecnologia,Líder 23,2024-12-11,2024-12-31,,Em Andamento,22.43,5.84
236,154,328,Tecnologia,Líder 27,2024-12-06,2024-12-31,,Em Andamento,45.93,5.94
237,154,461,Tecnologia,Líder 17,2024-12-04,2024-12-31,2024-12-31,Concluído,72.3,8.01
238,155,175,Suporte,Líder 26,2023-09-17,2024-02-14,,Cancelado,28.11,3.97
239,155,319,Suporte,Líder 8,2024-05-09,2024-12-31,2024-07-11,Concluído,83.19,8.63
240,155,221,Suporte,Líder 26,2024-07-20,2024-12-31,2024-07-27,Concluído,91.22,8.55
241,156,367,Vendas,Líder 43,2024-12-03,2024-12-31,2024-12-31,Concluído,77.88,8.17
242,156,228,Vendas,Líder 31,2023-11-30,2024-11-24,,Cancelado,28.43,4.91
243,156,155,Vendas,Líder 6,2024-08-13,2024-12-31,,Em Andamento,20.52,5.77
244,158,171,Comercial,Líder 10,2024-10-28,2024-12-31,2024-12-31,Concluído,76.04,8.35
245,159,76,Gente & Gestão,Líder 32,2024-12-03,2024-12-31,,Cancelado,38.61,4.51
246,159,59,Gente & Gestão,Líder 33,2024-09-05,2024-12-31,2024-12-29,Concluído,87.61,8.07
247,159,143,Gente & Gestão,Líder 5,2024-07-11,2024-12-31,2024-09-03,Concluído,93.42,6.44
248,160,24,Produto,Líder 45,2023-03-26,2023-12-21,,Em Andamento,45.56,6.59
249,160,347,Produto,Líder 4,2024-12-05,2024-12-31,,Cancelado,22.82,2.23
250,160,109,Produto,Líder 29,2023-07-26,2024-02-21,,Cancelado,30.12,4.31
251,161,413,Comercial,Líder 15,2024-08-13,2024-12-31,2024-12-17,Concluído,82.52,9.12
252,163,472,Tecnologia,Líder 25,2023-01-18,2023-08-16,2023-01-26,Concluído,77.4,7.88
253,163,107,Tecnologia,Líder 14,2022-12-30,2023-05-29,2023-02-23,Concluído,92.34,7.49
254,163,216,Tecnologia,Líder 16,2024-12-27,2024-12-31,2024-12-31,Concluído,99.24,6.29
255,164,221,Suporte,Líder 3,2024-07-12,2024-12-31,,Em Andamento,23.03,4.12
256,164,374,Suporte,Líder 28,2024-11-11,2024-12-31,,Em Andamento,53.91,7.87
257,167,264,Financeiro,Líder 2,2023-02-02,2023-07-02,,Em Andamento,21.6,4.04
258,167,318,Financeiro,Líder 39,2024-09-11,2024-12-31,2024-09-26,Concluído,99.02,9.23
259,168,195,Comercial,Líder 18,2024-12-24,2024-12-31,2024-12-31,Concluído,81.4,8.3
260,168,285,Comercial,Líder 50,2024-12-21,2024-12-31,2024-12-31,Concluído,77.84,7.44
261,168,82,Comercial,Líder 23,2024-12-30,2024-12-31,,Cancelado,37.55,4.92
262,169,370,Atendimento,Líder 17,2023-11-14,2024-02-12,2024-02-08,Concluído,90.06,7.27
263,169,213,Atendimento,Líder 2,2023-03-06,2023-07-04,2023-03-15,Concluído,77.22,6.19
264,169,145,Atendimento,Líder 33,2024-10-17,2024-12-31,2024-12-17,Concluído,70.02,9.42
265,170,354,Produto,Líder 41,2024-12-18,2024-12-31,2024-12-31,Concluído,88.12,9.11
266,171,77,Produto,Líder 16,2022-10-18,2023-06-15,2023-02-21,Concluído,75.72,7.27
267,172,280,Gente & Gestão,Líder 5,2024-10-27,2024-12-31,,Em Andamento,45.74,5.29
268,172,26,Gente & Gestão,Líder 27,2024-10-17,2024-12-31,2024-12-31,Concluído,83.26,6.88
269,172,334,Gente & Gestão,Líder 41,2024-05-20,2024-09-17,2024-10-06,Concluído,87.83,7.38
270,173,336,Suporte,Líder 22,2024-05-19,2024-12-31,2024-12-05,Concluído,97.74,7.11
271,173,162,Suporte,Líder 27,2024-02-14,2024-09-11,2024-08-01,Concluído,96.83,9.98
272,173,449,Suporte,Líder 38,2024-03-11,2024-08-08,,Em Andamento,65.18,5.03
273,174,225,Comercial,Líder 37,2024-09-30,2024-12-31,,Em Andamento,45.27,6.49
274,176,492,Tecnologia,Líder 30,2022-10-26,2023-01-24,,Em Andamento,68.01,6.11
