ID,Funcionario_ID,Data_Pesquisa,NPS_Lideranca,Resultado_Pesquisa_Clima,Alertas_Comportamentais
688,507,2022-12-01,7,8.88,
689,1861,2022-12-01,8,5.15,
690,2075,2022-12-01,8,8.88,Isolamento da equipe
691,1210,2022-12-01,6,6.37,
692,938,2022-12-01,10,6.32,
693,1583,2022-12-01,3,5.51,
694,1226,2022-12-01,4,8.51,Baixa participação em reuniões
695,1236,2022-12-01,6,7.97,
696,1975,2022-12-01,6,8.67,
697,632,2022-12-01,4,7.79,
698,8,2022-12-01,8,7.19,
699,1936,2022-12-01,1,9.28,
700,2610,2022-12-01,8,7.62,Conflitos interpessoais
701,2320,2022-12-01,4,9.35,
702,1153,2022-12-01,9,8.83,
703,2794,2022-12-01,9,6.27,
704,356,2022-12-01,3,8.86,
705,225,2022-12-01,6,6.59,
706,1357,2022-12-01,4,8.55,
707,95,2022-12-01,1,7.52,
708,871,2022-12-01,4,5.5,
