ID,Funcionario_ID,Treinamento_ID,Nome_Treinamento,Data_Inicio,Data_Conclusao,Horas_Capacitacao,Aderencia_Plano_Educacional,Avaliacao_Eficacia,Status
23,8,20,Power BI,2023-02-07,2023-09-06,8.22,85.4,6.04,Concluído
24,8,26,Python Avançado,2023-04-13,2024-04-20,38.27,81.39,8.49,Concluído
25,8,89,DevOps e CI/CD,2024-12-08,,18.41,25.23,,Em Andamento
26,8,76,Liderança e Gestão de Pessoas,2024-10-09,2024-10-31,24.74,61.8,8.75,Concluído
27,8,76,Excel Avançado,2024-07-12,2024-11-09,14.32,90.93,8.51,Concluído
28,8,52,Oratória,2024-09-04,2024-11-29,7.26,73.69,9.1,Concluído
29,8,5,JavaScript Moderno,2022-06-08,2024-07-08,18.94,82.37,6.06,Concluído
30,8,22,JavaScript Moderno,2023-04-08,2023-06-19,27.69,95.0,9.4,Concluído
31,10,80,Power BI,2023-11-17,2024-05-08,36.46,95.4,8.48,Concluído
32,10,53,Python Avançado,2023-06-27,2024-07-19,19.77,77.42,9.01,Concluído
33,10,96,JavaScript Moderno,2024-03-14,2024-09-08,32.99,75.86,8.17,Concluído
34,10,32,Data Analytics,2023-09-05,,2.98,70.25,,Em Andamento
35,10,36,Product Management,2024-01-13,2024-02-14,37.34,67.11,8.48,Concluído
36,10,50,Design Thinking,2022-09-22,,19.9,82.23,,Em Andamento
37,11,84,Gestão de Projetos,2024-12-14,2024-12-29,32.83,92.89,9.28,Concluído
38,11,26,Oratória,2024-11-29,,16.71,48.22,,Em Andamento
39,11,38,Vendas Consultivas,2024-10-12,2024-10-13,39.36,72.9,7.75,Concluído
40,11,92,Negociação,2024-11-02,,9.71,9.63,,Cancelado
41,12,84,Gestão de Projetos,2024-11-02,2024-11-17,19.5,72.53,8.81,Concluído
42,12,36,DevOps e CI/CD,2022-09-21,2024-06-26,25.93,61.53,7.99,Concluído
43,12,79,Excel Avançado,2024-08-19,2024-08-21,17.43,78.7,7.14,Concluído
44,14,74,Oratória,2024-08-19,2024-08-23,13.46,86.19,6.51,Concluído
45,14,25,Gestão de Projetos,2022-10-11,,9.66,33.15,,Em Andamento
46,14,7,Gestão de Projetos,2024-04-02,,2.86,82.9,,Em Andamento
47,14,62,Python Avançado,2024-11-02,2024-11-23,37.39,73.14,9.66,Concluído
48,14,4,Data Analytics,2024-11-10,2024-12-15,31.89,79.39,7.13,Concluído
49,15,24,Cloud Computing AWS,2024-10-07,2024-12-03,32.23,72.59,6.66,Concluído
50,15,8,Gestão de Projetos,2024-11-28,2024-12-22,38.63,93.69,6.29,Concluído
51,15,66,Python Avançado,2024-10-13,2024-10-24,13.1,77.51,6.37,Concluído
52,15,89,Machine Learning,2024-11-22,2024-12-06,17.01,84.89,9.93,Concluído
53,15,17,Python Avançado,2024-11-02,2024-12-20,4.88,71.58,6.37,Concluído
54,15,48,Gestão de Projetos,2024-08-26,2024-09-01,26.75,89.4,9.91,Concluído
55,16,61,Customer Success,2023-07-17,2024-02-20,36.91,90.87,6.87,Concluído
56,17,58,Gestão de Tempo,2023-10-22,2024-08-10,17.78,83.36,9.57,Concluído
57,17,48,Power BI,2024-10-31,2024-11-03,26.02,66.03,8.27,Concluído
58,17,6,Cloud Computing AWS,2023-12-21,2024-01-17,17.52,67.95,7.47,Concluído
59,17,79,Segurança da Informação,2023-08-17,2024-10-24,33.86,79.09,6.49,Concluído
60,17,56,Vendas Consultivas,2023-08-23,2024-10-13,15.27,68.87,6.28,Concluído
61,17,55,Product Management,2024-03-16,,9.75,18.68,,Em Andamento
62,18,36,Data Analytics,2024-05-14,2024-08-03,36.44,83.85,8.77,Concluído
63,18,14,Design Thinking,2024-11-02,2024-11-05,8.22,83.35,9.02,Concluído
64,18,75,Vendas Consultivas,2024-10-13,2024-10-27,32.43,84.69,8.14,Concluído
65,18,20,Machine Learning,2024-10-28,2024-11-03,12.63,60.31,6.51,Concluído
66,18,98,Data Analytics,2024-08-02,,14.45,47.26,,Em Andamento
67,19,92,Python Avançado,2024-03-07,2024-05-21,4.15,84.42,7.3,Concluído
68,19,70,JavaScript Moderno,2023-09-19,2024-10-22,4.21,90.99,7.24,Concluído
69,19,20,DevOps e CI/CD,2024-12-06,2024-12-21,22.54,79.99,6.16,Concluído
70,20,26,Liderança e Gestão de Pessoas,2023-06-29,2024-11-29,21.16,98.09,8.42,Concluído
71,20,72,DevOps e CI/CD,2024-06-14,2024-10-17,11.39,62.32,6.77,Concluído
72,20,78,Negociação,2023-06-15,2023-07-30,35.79,61.18,8.26,Concluído
73,20,13,Excel Avançado,2024-07-24,2024-08-06,20.71,78.67,8.52,Concluído
74,20,65,Negociação,2024-12-25,,4.49,0.29,,Em Andamento
75,20,55,DevOps e CI/CD,2023-07-27,2024-01-22,22.99,86.01,8.02,Concluído
76,21,68,Excel Avançado,2024-12-18,2024-12-25,17.62,80.17,9.41,Concluído
77,21,35,Agile/Scrum,2024-12-11,2024-12-17,5.69,81.77,7.48,Concluído
78,21,77,Product Management,2024-12-16,2024-12-25,4.84,87.1,9.1,Concluído
79,21,78,JavaScript Moderno,2024-12-11,2024-12-31,7.63,78.25,8.44,Concluído
80,21,93,Segurança da Informação,2024-12-06,2024-12-08,5.49,70.58,8.12,Concluído
81,21,59,Gestão de Projetos,2024-12-25,2024-12-31,34.61,96.33,7.03,Concluído
82,21,25,Oratória,2024-12-24,2024-12-27,33.52,81.36,9.59,Concluído
83,21,89,Comunicação Eficaz,2024-12-19,,7.73,33.94,,Em Andamento
84,22,4,JavaScript Moderno,2023-08-24,2023-09-29,7.6,80.17,8.68,Concluído
85,22,78,DevOps e CI/CD,2024-07-13,2024-09-28,30.18,96.88,6.22,Concluído
86,22,72,Excel Avançado,2023-11-23,2024-10-16,14.93,79.95,6.1,Concluído
87,22,43,Gestão de Projetos,2024-12-02,2024-12-08,20.02,85.7,9.69,Concluído
88,22,11,Power BI,2023-10-16,2024-07-12,19.06,60.92,8.11,Concluído
89,22,13,Customer Success,2024-10-06,,5.38,38.02,,Cancelado
90,22,16,Power BI,2024-04-30,2024-05-20,11.21,66.68,7.13,Concluído
91,23,36,Customer Success,2024-12-25,,3.43,23.77,,Cancelado
92,23,5,Comunicação Eficaz,2024-12-22,2024-12-31,8.0,69.04,6.64,Concluído
93,23,5,Design Thinking,2024-12-29,,10.6,39.12,,Em Andamento
94,23,36,Negociação,2024-12-23,,18.59,39.65,,Em Andamento
95,23,58,Product Management,2024-12-23,,15.75,29.88,,Em Andamento
96,23,90,Vendas Consultivas,2024-12-25,,2.25,24.0,,Cancelado
97,23,44,Machine Learning,2024-12-27,2024-12-30,34.33,72.64,8.52,Concluído
98,24,74,JavaScript Moderno,2023-12-02,2024-06-25,32.38,84.41,7.82,Concluído
99,24,54,Gestão de Tempo,2023-05-03,,2.46,39.31,,Cancelado
100,24,34,Machine Learning,2024-11-27,2024-11-29,19.6,99.56,6.4,Concluído
101,24,68,Python Avançado,2023-10-27,2024-02-24,19.78,86.84,8.23,Concluído
102,25,50,Power BI,2024-06-16,2024-11-01,11.3,84.23,8.67,Concluído
103,25,24,JavaScript Moderno,2023-03-02,2024-05-09,35.72,89.59,8.6,Concluído
104,25,47,Excel Avançado,2023-11-21,,19.69,5.44,,Em Andamento
105,26,11,Design Thinking,2024-03-23,2024-08-30,23.97,86.07,6.8,Concluído
106,26,83,Vendas Consultivas,2024-12-29,2024-12-31,18.78,74.63,6.93,Concluído
107,26,50,Product Management,2022-12-02,2024-02-14,6.78,71.41,7.65,Concluído
108,26,11,Liderança e Gestão de Pessoas,2024-06-21,2024-11-23,6.72,82.66,9.13,Concluído
109,26,42,Gestão de Projetos,2022-12-18,2023-12-18,19.47,83.72,9.34,Concluído
110,26,7,Vendas Consultivas,2023-10-13,,18.84,22.38,,Em Andamento
111,27,95,Machine Learning,2024-10-12,,17.38,11.73,,Em Andamento
112,28,24,Vendas Consultivas,2024-09-30,,2.08,58.2,,Em Andamento
113,28,26,JavaScript Moderno,2024-11-16,2024-12-19,23.8,78.31,9.74,Concluído
114,28,100,Liderança e Gestão de Pessoas,2024-12-26,2024-12-27,11.14,75.87,7.65,Concluído
115,28,97,Product Management,2024-09-17,2024-12-07,20.11,86.71,8.13,Concluído
116,28,33,Agile/Scrum,2024-09-20,,3.68,60.21,,Em Andamento
117,28,59,Gestão de Projetos,2024-09-27,2024-11-19,38.22,65.91,7.08,Concluído
118,28,18,DevOps e CI/CD,2024-10-25,2024-12-04,33.95,76.56,9.05,Concluído
119,29,63,Design Thinking,2023-09-26,,19.52,25.6,,Em Andamento
120,29,46,Comunicação Eficaz,2023-10-15,2024-01-04,18.81,88.04,8.03,Concluído
121,29,95,Data Analytics,2024-12-17,2024-12-26,25.58,72.66,7.97,Concluído
122,29,68,Cloud Computing AWS,2023-09-24,2024-03-19,6.51,66.55,9.53,Concluído
123,29,30,Cloud Computing AWS,2024-03-15,2024-10-06,35.04,70.95,9.69,Concluído
124,29,83,Gestão de Projetos,2024-04-03,2024-12-13,39.87,71.17,7.83,Concluído
125,30,55,Power BI,2024-08-05,2024-10-24,39.11,78.26,7.38,Concluído
126,30,61,Machine Learning,2024-12-02,2024-12-25,14.17,99.88,6.22,Concluído
127,30,62,Segurança da Informação,2024-07-11,2024-10-20,26.91,96.54,8.88,Concluído
128,30,85,JavaScript Moderno,2024-12-26,,15.3,45.89,,Em Andamento
129,31,5,Python Avançado,2024-11-30,2024-12-26,26.6,62.98,8.64,Concluído
130,31,73,Gestão de Tempo,2024-12-28,2024-12-29,14.5,66.6,8.45,Concluído
131,31,46,Power BI,2024-12-04,2024-12-08,13.35,65.07,6.51,Concluído
132,31,99,Negociação,2024-12-22,,5.23,30.99,,Cancelado
133,32,47,Vendas Consultivas,2024-05-22,2024-09-20,27.16,82.72,8.26,Concluído
134,32,15,Negociação,2024-08-27,2024-10-11,28.43,74.01,9.57,Concluído
135,33,4,Power BI,2024-02-08,2024-03-08,13.55,78.7,8.87,Concluído
136,33,76,Negociação,2024-10-14,2024-11-11,34.72,89.35,6.28,Concluído
137,34,35,Gestão de Tempo,2024-10-15,2024-12-12,15.62,91.34,8.16,Concluído
138,34,67,Customer Success,2024-09-30,2024-12-28,21.01,64.94,8.91,Concluído
139,34,13,Cloud Computing AWS,2023-12-25,2024-03-28,32.59,85.5,7.57,Concluído
140,34,28,Negociação,2023-12-28,2024-09-07,13.45,80.21,9.9,Concluído
141,34,4,Segurança da Informação,2024-10-08,,1.47,2.33,,Cancelado
142,35,50,Gestão de Projetos,2024-12-27,2024-12-28,27.23,97.31,8.55,Concluído
143,35,26,Data Analytics,2024-09-06,2024-10-09,10.45,94.94,8.86,Concluído
144,35,33,JavaScript Moderno,2024-11-07,2024-12-27,9.51,81.01,7.98,Concluído
145,35,64,Machine Learning,2024-07-31,2024-10-01,26.37,96.98,7.76,Concluído
146,35,25,Machine Learning,2024-10-13,2024-11-07,38.94,84.87,8.48,Concluído
147,35,36,Product Management,2024-12-12,,16.59,27.05,,Em Andamento
148,35,29,Comunicação Eficaz,2024-08-17,,16.52,49.08,,Em Andamento
149,36,22,Design Thinking,2024-12-02,,9.01,6.14,,Cancelado
150,36,41,Product Management,2024-09-15,2024-11-08,4.64,74.08,9.21,Concluído
151,36,95,Gestão de Tempo,2024-10-28,2024-12-25,37.43,81.74,9.41,Concluído
152,36,83,Machine Learning,2024-09-03,2024-10-02,15.93,68.19,6.77,Concluído
153,36,50,Segurança da Informação,2024-10-06,2024-12-28,27.95,79.8,7.2,Concluído
154,36,15,Agile/Scrum,2024-11-25,2024-12-20,34.94,62.02,7.44,Concluído
155,36,99,Gestão de Projetos,2024-08-14,2024-12-28,10.18,86.52,7.7,Concluído
156,36,97,Excel Avançado,2024-11-08,,16.79,60.33,,Em Andamento
157,37,84,Liderança e Gestão de Pessoas,2024-12-05,2024-12-10,8.34,69.09,9.77,Concluído
158,37,28,Liderança e Gestão de Pessoas,2024-11-05,2024-12-15,10.96,73.24,8.8,Concluído
159,37,94,Machine Learning,2024-12-22,,19.75,18.74,,Em Andamento
160,37,64,Oratória,2024-09-19,2024-12-16,36.65,94.84,6.67,Concluído
161,37,51,Vendas Consultivas,2024-11-11,,8.93,16.86,,Em Andamento
162,37,21,Negociação,2024-11-12,2024-11-18,15.42,95.27,6.31,Concluído
163,37,42,Comunicação Eficaz,2024-12-03,2024-12-08,23.41,61.05,9.44,Concluído
164,38,35,Gestão de Tempo,2023-11-15,2024-10-14,15.18,86.17,7.2,Concluído
165,38,98,Python Avançado,2024-06-07,2024-08-16,17.52,87.14,7.26,Concluído
166,38,92,Product Management,2023-11-07,2024-08-17,28.09,98.63,7.11,Concluído
167,38,30,JavaScript Moderno,2024-09-04,2024-09-14,37.89,78.02,9.38,Concluído
168,38,70,DevOps e CI/CD,2024-05-05,2024-05-21,27.29,64.39,7.28,Concluído
169,38,69,JavaScript Moderno,2024-02-03,2024-02-19,36.68,63.59,9.75,Concluído
170,38,95,DevOps e CI/CD,2024-03-27,2024-09-25,4.68,70.96,8.32,Concluído
171,39,52,DevOps e CI/CD,2024-11-29,,1.69,16.33,,Cancelado
172,39,35,Segurança da Informação,2024-11-16,2024-12-08,38.87,70.81,6.22,Concluído
173,39,89,Gestão de Projetos,2024-09-01,2024-11-24,10.67,78.14,7.49,Concluído
174,39,25,Vendas Consultivas,2024-12-08,2024-12-21,34.39,78.32,7.45,Concluído
175,39,42,JavaScript Moderno,2024-12-12,2024-12-14,14.83,77.33,7.35,Concluído
176,41,40,Power BI,2024-10-16,2024-12-10,32.2,67.43,9.04,Concluído
177,41,43,Machine Learning,2024-08-20,,17.08,75.39,,Em Andamento
178,42,100,Segurança da Informação,2024-06-07,,16.23,28.98,,Em Andamento
179,42,54,Vendas Consultivas,2024-05-10,2024-09-13,4.0,62.81,8.84,Concluído
180,42,8,JavaScript Moderno,2024-12-08,2024-12-29,37.64,74.06,7.51,Concluído
181,43,59,Python Avançado,2023-05-26,2023-07-21,8.38,93.89,6.88,Concluído
182,43,82,Liderança e Gestão de Pessoas,2024-03-09,2024-05-10,13.69,93.59,7.84,Concluído
183,43,53,Machine Learning,2024-07-01,2024-07-28,28.29,99.15,8.38,Concluído
184,43,54,Segurança da Informação,2023-05-08,2023-06-27,26.39,70.85,8.2,Concluído
185,43,97,Agile/Scrum,2023-09-04,2024-05-23,35.06,80.52,6.88,Concluído
186,43,65,Machine Learning,2024-10-10,2024-12-07,29.64,81.57,9.4,Concluído
187,43,51,JavaScript Moderno,2023-12-23,2024-11-06,20.39,81.24,7.61,Concluído
188,44,2,DevOps e CI/CD,2023-09-20,2024-06-04,13.13,87.84,6.75,Concluído
189,44,76,Liderança e Gestão de Pessoas,2024-10-26,2024-12-07,6.33,92.57,7.03,Concluído
190,44,94,Design Thinking,2023-04-08,2023-11-16,39.79,94.32,7.54,Concluído
191,44,67,Agile/Scrum,2023-05-29,,8.87,68.82,,Em Andamento
192,44,52,Agile/Scrum,2023-12-31,2024-09-30,9.74,71.75,6.73,Concluído
193,44,58,Vendas Consultivas,2024-12-05,2024-12-31,33.97,85.63,9.25,Concluído
194,44,28,Agile/Scrum,2024-05-26,2024-08-06,6.01,66.71,8.68,Concluído
195,44,69,Python Avançado,2024-04-08,,9.35,21.22,,Em Andamento
196,45,14,Power BI,2024-04-08,,16.93,5.65,,Em Andamento
197,46,57,Agile/Scrum,2024-05-17,2024-12-09,33.06,71.03,6.09,Concluído
198,46,45,Gestão de Tempo,2022-07-10,2023-04-25,30.41,62.4,8.39,Concluído
199,46,64,Oratória,2022-07-27,2023-03-13,25.77,96.31,8.46,Concluído
200,46,10,Oratória,2023-12-21,,19.99,63.3,,Em Andamento
201,46,65,Gestão de Tempo,2024-04-23,2024-09-07,32.43,60.84,8.39,Concluído
202,46,40,DevOps e CI/CD,2024-04-15,2024-05-23,19.22,93.3,9.57,Concluído
203,46,13,Agile/Scrum,2023-08-04,,9.68,65.03,,Em Andamento
204,46,1,Python Avançado,2023-09-22,2024-11-23,28.65,66.53,8.44,Concluído
205,47,71,Machine Learning,2024-09-23,2024-12-27,5.07,99.15,8.08,Concluído
206,47,62,JavaScript Moderno,2024-10-22,,1.1,24.92,,Cancelado
207,47,1,Machine Learning,2024-12-17,2024-12-23,39.1,67.07,8.81,Concluído
208,47,53,Liderança e Gestão de Pessoas,2024-10-16,2024-10-25,7.01,80.8,8.99,Concluído
209,47,40,Agile/Scrum,2024-11-13,2024-12-11,24.1,66.09,6.71,Concluído
210,47,35,Gestão de Tempo,2024-10-25,2024-11-28,20.86,64.02,8.58,Concluído
211,48,52,Negociação,2024-03-07,2024-12-26,17.06,60.4,6.15,Concluído
212,48,97,Power BI,2024-03-07,2024-05-15,26.42,77.72,9.93,Concluído
213,48,22,Machine Learning,2024-11-11,2024-12-02,5.98,94.01,8.31,Concluído
214,48,89,DevOps e CI/CD,2024-08-05,2024-11-06,26.21,70.56,8.97,Concluído
215,48,16,Comunicação Eficaz,2024-03-30,2024-08-01,10.55,60.17,8.09,Concluído
216,49,14,Customer Success,2024-12-24,2024-12-25,13.95,74.83,8.69,Concluído
217,49,27,Data Analytics,2024-12-28,2024-12-30,17.05,69.94,9.22,Concluído
218,49,41,Machine Learning,2024-12-17,2024-12-27,31.29,64.7,7.98,Concluído
219,49,90,Cloud Computing AWS,2024-12-14,2024-12-22,39.3,69.39,6.59,Concluído
220,49,56,JavaScript Moderno,2024-11-30,2024-12-26,24.48,91.66,8.97,Concluído
221,50,91,DevOps e CI/CD,2024-07-01,2024-08-28,21.67,60.49,7.5,Concluído
222,50,67,Comunicação Eficaz,2024-09-21,2024-09-27,29.94,72.19,10.0,Concluído
223,50,47,Cloud Computing AWS,2024-09-04,2024-11-13,34.89,75.16,6.64,Concluído
224,50,3,Design Thinking,2024-12-31,2025-01-01,10.47,89.97,9.47,Concluído
225,50,49,DevOps e CI/CD,2024-06-27,2024-11-04,17.0,88.96,9.81,Concluído
226,52,91,Liderança e Gestão de Pessoas,2024-08-13,2024-09-17,8.79,90.23,7.67,Concluído
227,52,11,Agile/Scrum,2024-09-24,,4.36,0.8,,Cancelado
228,52,4,Design Thinking,2024-02-21,,13.45,40.43,,Em Andamento
229,52,44,Data Analytics,2024-06-05,2024-08-18,33.86,77.75,9.75,Concluído
230,52,76,Product Management,2024-10-07,2024-11-07,21.55,99.5,9.95,Concluído
231,52,75,Oratória,2024-11-28,2024-12-20,5.12,67.37,6.99,Concluído
232,52,85,Oratória,2023-10-19,2024-09-19,29.36,68.92,9.13,Concluído
233,52,47,Gestão de Tempo,2024-09-05,,7.94,61.91,,Em Andamento
234,53,42,Machine Learning,2024-09-30,2024-11-06,13.71,66.34,7.33,Concluído
235,53,85,Product Management,2023-11-09,,4.76,48.75,,Em Andamento
236,53,17,Data Analytics,2024-09-26,2024-10-29,18.68,92.0,8.71,Concluído
237,54,6,Python Avançado,2024-01-02,2024-10-15,20.11,97.71,8.71,Concluído
238,54,68,DevOps e CI/CD,2023-12-26,2024-02-03,13.47,75.37,6.15,Concluído
239,54,67,Data Analytics,2024-11-14,2024-11-19,26.19,98.97,7.52,Concluído
240,54,14,Product Management,2023-06-17,2024-11-18,10.68,79.81,7.49,Concluído
241,54,84,Liderança e Gestão de Pessoas,2024-02-08,2024-02-15,10.86,83.94,7.44,Concluído
242,54,18,DevOps e CI/CD,2023-11-29,2024-09-22,5.24,72.0,7.53,Concluído
243,55,87,Customer Success,2023-02-19,2024-10-08,23.67,92.92,8.7,Concluído
244,55,12,Oratória,2024-02-08,2024-08-23,22.68,81.01,9.05,Concluído
245,55,52,Gestão de Projetos,2023-12-15,2024-03-14,25.45,68.17,9.66,Concluído
246,57,99,DevOps e CI/CD,2024-05-01,2024-09-21,16.01,71.45,8.65,Concluído
247,57,26,Comunicação Eficaz,2024-08-01,,10.78,70.16,,Em Andamento
248,57,64,Cloud Computing AWS,2024-11-22,,14.85,44.49,,Em Andamento
249,58,65,Data Analytics,2024-12-27,2024-12-28,38.3,63.04,8.86,Concluído
250,58,76,Liderança e Gestão de Pessoas,2024-12-11,2024-12-21,22.45,61.87,8.79,Concluído
251,58,66,Machine Learning,2024-10-12,,3.97,30.85,,Cancelado
252,58,96,Comunicação Eficaz,2024-07-04,2024-07-13,8.38,81.02,6.26,Concluído
253,58,50,Machine Learning,2024-07-30,2024-09-27,25.54,66.38,6.42,Concluído
254,58,28,Design Thinking,2024-10-25,2024-10-26,15.13,65.25,6.87,Concluído
255,59,18,JavaScript Moderno,2022-11-24,2022-12-12,8.08,88.13,7.23,Concluído
256,60,22,Customer Success,2024-11-16,2024-11-22,7.31,84.44,8.13,Concluído
257,60,59,Gestão de Projetos,2024-07-25,2024-08-24,34.85,65.21,7.52,Concluído
258,60,13,Cloud Computing AWS,2024-07-06,2024-08-02,35.97,73.76,6.04,Concluído
259,60,85,Liderança e Gestão de Pessoas,2023-06-16,,8.43,18.39,,Cancelado
260,60,84,Cloud Computing AWS,2024-04-23,2024-10-04,18.29,67.8,6.68,Concluído
261,60,84,Gestão de Projetos,2023-08-12,2023-08-29,20.16,94.02,6.71,Concluído
262,60,97,Oratória,2023-08-29,,7.61,6.73,,Em Andamento
263,61,60,Product Management,2024-11-15,2024-12-01,35.15,61.43,9.26,Concluído
264,61,37,Machine Learning,2024-07-17,,4.82,56.95,,Em Andamento
265,61,27,Design Thinking,2024-06-23,2024-11-12,24.57,89.43,6.03,Concluído
266,61,24,Design Thinking,2024-08-08,2024-08-15,11.45,76.09,6.45,Concluído
267,62,74,JavaScript Moderno,2024-01-27,,1.32,33.72,,Cancelado
268,62,47,Comunicação Eficaz,2024-02-23,,10.74,3.19,,Em Andamento
269,62,76,Agile/Scrum,2024-10-01,2024-10-28,16.17,65.02,6.89,Concluído
270,62,40,Product Management,2024-03-27,2024-06-12,35.14,60.0,7.17,Concluído
271,62,54,Agile/Scrum,2024-07-05,,8.08,56.86,,Em Andamento
272,62,67,DevOps e CI/CD,2024-02-02,2024-05-26,24.28,69.01,9.18,Concluído
273,63,90,Machine Learning,2024-10-14,2024-12-29,25.78,80.17,7.28,Concluído
274,63,47,Gestão de Projetos,2024-08-11,2024-11-20,14.74,75.09,6.57,Concluído
275,63,47,Liderança e Gestão de Pessoas,2024-08-27,2024-09-27,19.5,70.72,8.59,Concluído
276,63,92,Gestão de Projetos,2024-08-08,2024-11-11,13.2,74.43,9.47,Concluído
277,63,13,Vendas Consultivas,2024-11-11,,7.18,14.52,,Em Andamento
278,64,49,Python Avançado,2024-12-25,2024-12-27,25.52,60.09,6.85,Concluído
279,64,77,Design Thinking,2024-10-02,2024-12-19,23.71,89.77,6.03,Concluído
280,64,75,Python Avançado,2024-11-20,2024-12-12,5.16,99.32,6.48,Concluído
281,64,3,Cloud Computing AWS,2024-11-07,,10.31,57.06,,Em Andamento
282,64,66,Comunicação Eficaz,2024-11-09,2024-11-20,18.09,86.95,8.65,Concluído
283,64,82,Vendas Consultivas,2024-10-14,2024-11-28,28.26,95.19,7.7,Concluído
284,64,33,Oratória,2024-12-25,2024-12-27,32.25,95.53,6.04,Concluído
285,64,30,Oratória,2024-11-20,2024-12-05,5.08,86.95,7.53,Concluído
286,65,91,Machine Learning,2023-09-18,2024-02-15,7.18,88.9,9.14,Concluído
287,65,9,Machine Learning,2022-12-24,2024-03-17,24.95,73.48,9.75,Concluído
288,65,81,Vendas Consultivas,2023-09-05,2024-06-18,16.78,61.99,9.84,Concluído
289,65,61,Gestão de Tempo,2022-09-16,,7.47,14.0,,Cancelado
290,66,89,Customer Success,2024-04-04,,6.58,73.03,,Em Andamento
291,66,4,JavaScript Moderno,2024-09-24,2024-10-06,18.86,91.33,6.15,Concluído
292,66,67,Excel Avançado,2024-07-12,,6.7,5.1,,Em Andamento
293,67,1,Comunicação Eficaz,2024-12-28,2024-12-29,14.7,67.92,6.6,Concluído
294,68,43,Vendas Consultivas,2023-08-17,2023-08-24,32.24,74.52,6.67,Concluído
295,68,24,Customer Success,2023-11-17,2024-03-27,6.89,78.0,8.97,Concluído
296,68,35,Cloud Computing AWS,2024-11-03,2024-11-23,24.74,79.67,9.7,Concluído
297,68,71,Liderança e Gestão de Pessoas,2023-07-31,2024-11-02,39.19,74.04,8.46,Concluído
298,68,79,Comunicação Eficaz,2024-11-11,2024-11-24,8.09,68.45,8.45,Concluído
299,68,85,Product Management,2023-08-07,2024-01-22,37.02,76.93,9.21,Concluído
300,68,49,Design Thinking,2024-07-11,,2.23,2.44,,Cancelado
301,69,46,Product Management,2024-08-30,2024-10-31,34.12,78.54,7.5,Concluído
302,69,88,Product Management,2024-08-02,2024-10-08,5.72,62.32,9.69,Concluído
303,69,74,Agile/Scrum,2024-12-03,,17.94,27.51,,Em Andamento
304,69,22,Excel Avançado,2024-11-11,2024-11-12,20.87,83.16,9.52,Concluído
305,70,33,DevOps e CI/CD,2024-01-04,2024-11-21,22.75,93.31,7.34,Concluído
306,70,87,Power BI,2024-07-31,2024-10-25,9.51,69.84,6.56,Concluído
307,70,73,Oratória,2024-11-27,2024-12-05,33.98,98.58,8.15,Concluído
308,70,6,Negociação,2023-11-22,2024-03-07,10.68,90.85,9.24,Concluído
309,70,70,Customer Success,2024-02-11,2024-06-03,19.59,89.36,9.56,Concluído
310,70,82,Power BI,2024-12-23,2024-12-28,24.23,89.5,6.07,Concluído
311,70,83,Machine Learning,2024-06-28,2024-12-24,25.33,62.61,8.75,Concluído
312,70,5,Python Avançado,2024-11-14,2024-12-16,4.46,83.15,9.52,Concluído
313,71,91,Machine Learning,2023-05-17,,7.84,13.93,,Cancelado
314,71,15,Comunicação Eficaz,2022-08-15,,12.64,88.95,,Em Andamento
