ID,Funcionario_ID,Data_Desligamento,Tipo_Turnover,Area,Tempo_Casa_Dias,Custo_Desligamento,Risco_Rotatividade
72,466,2022-11-20,Involuntário,Atendimento,264,22468.77,26.18
73,479,2023-01-23,Involuntário,Qualidade,21,17120.66,84.43
74,485,2024-09-03,Involuntário,Qualidade,148,9336.5,13.54
75,487,2024-12-10,Voluntário,Qualidade,623,12327.14,62.54
76,491,2024-10-17,Involuntário,Financeiro,48,33466.12,75.29
77,495,2024-03-29,Voluntário,Tecnologia,485,30396.72,55.8
78,501,2022-09-06,Involuntário,Inovação,161,22308.48,12.96
79,505,2024-12-24,Involuntário,Qualidade,35,7604.92,98.83
80,506,2023-09-09,Involuntário,Comercial,448,16250.61,14.78
81,508,2024-10-02,Voluntário,Operações,797,16265.0,79.74
82,510,2024-04-18,Voluntário,Gente & Gestão,366,20595.53,61.25
83,515,2022-09-28,Involuntário,Gente & Gestão,213,27229.59,90.55
84,518,2024-10-06,Involuntário,Financeiro,210,31376.71,66.42
85,524,2024-09-21,Involuntário,Tecnologia,511,11093.0,3.38
86,525,2024-10-24,Involuntário,Marketing,701,10184.99,0.98
87,533,2023-12-07,Voluntário,Gente & Gestão,63,46616.78,4.93
88,534,2024-08-08,Involuntário,Vendas,280,16842.96,74.0
89,544,2024-11-04,Voluntário,Financeiro,45,22875.15,11.11
90,553,2024-11-12,Involuntário,Financeiro,1,1625.66,90.45
91,557,2024-08-18,Voluntário,Operações,570,31111.0,49.18
92,564,2024-01-18,Involuntário,Qualidade,267,21083.08,44.65
93,565,2024-11-30,Voluntário,Marketing,831,20380.44,19.39
94,570,2024-10-02,Voluntário,Gente & Gestão,99,19253.01,24.22
95,583,2024-09-05,Involuntário,Vendas,57,29064.06,74.38
96,588,2024-11-10,Voluntário,Financeiro,210,10752.89,89.42
97,596,2024-10-17,Involuntário,Gente & Gestão,19,41534.72,91.99
98,613,2023-02-15,Voluntário,Comercial,349,10736.33,0.05
99,626,2023-05-24,Voluntário,Marketing,224,17150.53,49.87
100,627,2023-10-01,Voluntário,Qualidade,591,9966.65,11.53
101,632,2023-09-02,Involuntário,Operações,594,11670.61,47.32
102,641,2024-03-31,Involuntário,Comercial,427,31344.16,56.37
103,646,2023-10-29,Voluntário,Qualidade,168,21429.8,48.68
104,657,2023-05-25,Voluntário,Gente & Gestão,484,6392.8,53.26
105,661,2024-12-28,Voluntário,Qualidade,190,27019.45,9.31
106,680,2024-10-12,Involuntário,Comercial,770,23604.32,43.58
107,684,2023-07-16,Voluntário,Gente & Gestão,210,26737.13,52.4
108,694,2024-10-14,Involuntário,Vendas,826,36285.48,34.64
109,696,2024-12-29,Voluntário,Marketing,21,12822.71,79.98
110,704,2023-07-01,Voluntário,Qualidade,519,18364.78,60.09
111,707,2024-03-19,Involuntário,Marketing,400,27516.34,32.01
112,714,2024-02-07,Voluntário,Marketing,174,19807.48,23.7
113,732,2024-11-18,Involuntário,Comercial,82,9265.73,51.52
114,733,2023-07-25,Involuntário,Marketing,456,14750.48,85.72
115,748,2022-07-03,Voluntário,Marketing,167,42505.26,46.91
116,755,2024-07-10,Voluntário,Operações,383,34903.13,97.34
117,765,2022-10-19,Voluntário,Suporte,130,12146.84,77.9
118,767,2023-08-22,Involuntário,Qualidade,62,3510.24,73.94
119,774,2024-12-30,Involuntário,Gente & Gestão,8,12391.9,3.24
120,776,2024-10-12,Involuntário,Gente & Gestão,581,8769.9,18.49
121,782,2023-10-08,Involuntário,Qualidade,419,39122.39,10.31
122,795,2024-11-14,Involuntário,Gente & Gestão,18,19370.66,91.03
123,802,2024-08-28,Voluntário,Atendimento,794,11624.69,37.19
124,806,2024-12-01,Involuntário,Gente & Gestão,203,32260.39,47.23
125,813,2024-12-26,Voluntário,Vendas,300,4448.02,81.06
126,823,2024-01-28,Involuntário,Qualidade,516,31220.2,91.62
127,830,2024-11-15,Voluntário,Suporte,538,24184.33,63.29
128,831,2024-12-09,Voluntário,Comercial,259,31145.55,78.68
129,845,2023-03-30,Voluntário,Financeiro,390,23551.96,58.8
130,847,2023-12-31,Voluntário,Tecnologia,481,33553.18,72.47
131,850,2024-10-29,Voluntário,Gente & Gestão,445,6357.36,49.95
132,852,2024-12-22,Voluntário,Produto,292,16207.51,33.5
133,863,2023-03-16,Voluntário,Vendas,12,36676.67,29.23
134,866,2024-07-26,Voluntário,Marketing,94,9966.39,39.97
135,887,2024-12-30,Voluntário,Qualidade,121,60507.7,77.34
136,906,2023-03-11,Voluntário,Financeiro,28,4672.48,23.13
137,908,2024-09-28,Voluntário,Vendas,24,7566.83,44.86
138,911,2023-08-19,Involuntário,Produto,163,6104.63,62.12
139,934,2024-04-10,Involuntário,Tecnologia,687,16087.87,6.77
140,937,2024-06-21,Involuntário,Comercial,227,34556.48,95.72
141,943,2024-08-31,Involuntário,Marketing,906,23346.64,9.06
142,946,2024-03-17,Voluntário,Financeiro,605,30749.44,3.43
143,951,2024-07-04,Voluntário,Inovação,260,14437.29,71.18
144,961,2024-08-30,Involuntário,Operações,784,7623.92,19.58
145,973,2024-05-30,Involuntário,Atendimento,201,13158.38,52.16
146,975,2024-12-23,Voluntário,Comercial,112,22755.72,74.08
147,976,2022-11-14,Involuntário,Financeiro,25,45283.66,40.87
148,984,2024-09-02,Voluntário,Financeiro,107,3350.54,10.68
149,991,2024-07-01,Voluntário,Comercial,398,31274.54,82.79
150,1000,2023-10-11,Voluntário,Tecnologia,188,56436.8,22.44
151,1011,2023-12-06,Voluntário,Operações,583,12369.27,28.88
152,1017,2024-09-26,Involuntário,Marketing,588,7026.5,47.94
153,1028,2024-08-05,Voluntário,Vendas,1,10944.21,3.53
154,1042,2024-11-13,Involuntário,Inovação,136,10194.37,26.08
155,1049,2023-10-29,Involuntário,Marketing,514,45099.43,76.3
156,1052,2024-07-27,Voluntário,Suporte,32,10311.03,42.56
157,1055,2024-05-22,Involuntário,Qualidade,848,17216.43,99.57
158,1072,2023-11-25,Voluntário,Comercial,359,12708.82,91.4
159,1083,2023-12-17,Involuntário,Marketing,670,23692.42,74.51
160,1097,2024-11-20,Voluntário,Produto,82,29266.25,13.08
161,1103,2024-05-18,Involuntário,Suporte,4,13015.08,80.31
162,1106,2024-11-13,Voluntário,Gente & Gestão,1029,5640.63,32.02
163,1107,2023-04-25,Voluntário,Marketing,334,7499.47,50.39
164,1108,2024-04-10,Voluntário,Marketing,369,9987.46,2.13
165,1122,2023-10-14,Voluntário,Qualidade,296,3604.9,36.98
166,1126,2024-11-12,Voluntário,Vendas,120,26099.35,24.47
167,1134,2023-05-18,Involuntário,Tecnologia,416,10701.97,76.65
168,1137,2024-07-10,Involuntário,Financeiro,30,29864.76,96.92
169,1153,2022-10-24,Involuntário,Tecnologia,92,17679.18,44.05
170,1160,2024-12-17,Involuntário,Marketing,84,8807.5,31.19
171,1185,2024-05-25,Involuntário,Vendas,309,28623.99,13.01
172,1187,2024-11-29,Involuntário,Marketing,62,36489.19,68.18
173,1196,2024-04-13,Involuntário,Vendas,394,35602.59,33.2
174,1197,2024-04-21,Voluntário,Tecnologia,357,39128.3,50.62
175,1198,2023-05-01,Voluntário,Marketing,42,14406.63,21.12
176,1199,2023-07-14,Voluntário,Operações,223,30753.83,30.44
177,1200,2023-08-29,Voluntário,Tecnologia,334,16085.05,3.84
178,1211,2024-10-31,Involuntário,Suporte,29,8959.88,29.68
179,1218,2024-07-18,Involuntário,Vendas,95,38667.24,61.26
180,1228,2024-12-08,Voluntário,Financeiro,364,33995.1,3.52
181,1234,2023-02-22,Voluntário,Financeiro,42,8049.33,90.72
182,1235,2024-11-23,Involuntário,Qualidade,562,41398.71,72.43
183,1239,2024-12-15,Voluntário,Produto,779,28648.47,16.57
184,1248,2023-04-19,Involuntário,Marketing,324,5324.19,10.95
185,1252,2024-05-13,Involuntário,Suporte,449,37649.68,21.08
186,1262,2024-05-16,Voluntário,Gente & Gestão,510,35981.46,11.57
187,1263,2024-03-06,Voluntário,Qualidade,204,55969.65,10.26
188,1264,2024-11-07,Involuntário,Atendimento,2,18266.78,60.27
189,1268,2024-09-26,Involuntário,Inovação,348,3113.8,38.1
190,1269,2024-10-16,Involuntário,Tecnologia,84,29874.88,36.97
191,1297,2024-01-06,Involuntário,Operações,238,20688.04,10.8
192,1300,2024-06-01,Voluntário,Marketing,226,18066.95,77.03
193,1303,2024-09-24,Voluntário,Marketing,42,39648.63,92.79
194,1308,2024-12-27,Voluntário,Produto,75,16871.59,55.54
195,1311,2024-12-17,Voluntário,Comercial,1036,18521.8,23.15
196,1312,2024-01-08,Involuntário,Suporte,226,15533.56,93.28
197,1314,2024-08-13,Voluntário,Vendas,10,16141.97,82.7
198,1332,2023-04-05,Voluntário,Financeiro,272,27828.08,89.67
199,1337,2024-05-13,Involuntário,Tecnologia,171,17939.58,37.0
200,1339,2024-10-19,Involuntário,Produto,111,45319.23,50.02
201,1342,2024-11-07,Involuntário,Suporte,163,30367.89,59.61
202,1346,2024-10-12,Voluntário,Financeiro,373,15745.91,83.93
203,1354,2024-12-09,Voluntário,Atendimento,103,50531.48,81.78
204,1366,2025-01-01,Involuntário,Atendimento,1,30481.59,13.5
205,1371,2024-11-18,Involuntário,Qualidade,618,13311.37,24.65
206,1372,2024-09-16,Voluntário,Suporte,101,21587.98,17.36
207,1392,2024-06-05,Voluntário,Suporte,244,6422.36,28.13
208,1410,2024-04-09,Involuntário,Tecnologia,62,17733.14,27.03
209,1416,2023-06-26,Voluntário,Vendas,175,6899.31,28.24
210,1417,2023-11-01,Involuntário,Inovação,667,18526.03,14.34
211,1426,2024-08-18,Voluntário,Vendas,441,19489.18,25.58
212,1427,2023-08-09,Voluntário,Financeiro,126,7042.3,0.89
213,1429,2024-10-13,Involuntário,Vendas,684,52571.64,62.84
214,1443,2024-10-02,Involuntário,Tecnologia,792,6973.79,40.2
215,1449,2024-12-28,Voluntário,Produto,9,10066.3,64.72
216,1450,2024-12-06,Voluntário,Qualidade,270,25253.4,47.08
217,1454,2024-05-08,Involuntário,Marketing,78,4251.43,66.4
218,1460,2024-10-27,Voluntário,Financeiro,673,32627.19,73.33
219,1462,2024-03-14,Involuntário,Comercial,128,18706.49,24.38
220,1464,2023-11-30,Involuntário,Suporte,420,24930.35,43.9
221,1468,2024-06-27,Voluntário,Inovação,223,15716.81,50.87
222,1476,2022-10-04,Voluntário,Marketing,127,43690.6,53.74
223,1479,2023-08-07,Voluntário,Produto,458,14227.83,68.6
224,1502,2024-07-02,Involuntário,Qualidade,295,14520.4,7.29
225,1508,2023-05-31,Voluntário,Operações,428,25354.38,98.82
226,1514,2024-11-16,Voluntário,Inovação,425,29594.49,26.06
227,1516,2024-12-27,Voluntário,Comercial,39,5809.12,22.99
228,1523,2024-12-07,Voluntário,Marketing,84,19026.96,76.33
229,1526,2024-01-12,Involuntário,Vendas,17,27025.27,71.12
230,1534,2023-08-25,Voluntário,Tecnologia,212,23103.7,34.15
231,1549,2024-01-18,Involuntário,Inovação,155,14074.56,22.16
232,1555,2023-04-14,Involuntário,Inovação,409,24494.58,94.14
233,1556,2024-12-17,Involuntário,Qualidade,746,4336.42,27.95
234,1560,2024-03-18,Involuntário,Gente & Gestão,6,19400.98,86.87
235,1570,2024-12-08,Involuntário,Suporte,77,27590.37,91.44
236,1585,2024-08-29,Voluntário,Vendas,188,5532.92,77.49
237,1598,2024-12-03,Voluntário,Produto,172,24451.28,9.42
238,1601,2024-08-01,Involuntário,Atendimento,497,46188.01,57.98
239,1608,2024-05-22,Involuntário,Suporte,44,15293.68,50.01
240,1611,2023-02-16,Involuntário,Inovação,376,7034.98,39.72
241,1612,2024-01-14,Voluntário,Financeiro,73,21021.35,14.36
242,1613,2024-12-26,Voluntário,Qualidade,254,12874.26,92.36
243,1614,2024-08-19,Involuntário,Qualidade,87,50222.57,14.64
244,1615,2024-05-08,Voluntário,Marketing,219,10805.45,24.47
245,1616,2022-08-14,Voluntário,Inovação,45,3574.06,28.91
246,1621,2023-01-28,Involuntário,Qualidade,80,23422.03,58.19
247,1639,2024-09-08,Involuntário,Atendimento,334,10365.73,52.35
248,1648,2024-05-13,Voluntário,Qualidade,10,29382.08,18.39
249,1649,2024-10-26,Voluntário,Tecnologia,55,15235.7,98.06
250,1675,2024-01-26,Voluntário,Qualidade,110,6470.73,93.0
251,1676,2023-08-21,Involuntário,Operações,168,9446.09,47.1
252,1681,2024-01-17,Involuntário,Comercial,201,25448.01,92.35
253,1688,2024-12-03,Involuntário,Operações,97,5898.87,60.28
254,1689,2023-07-23,Involuntário,Vendas,159,9082.03,73.89
255,1706,2024-12-18,Involuntário,Tecnologia,51,30047.93,63.25
256,1707,2024-10-29,Voluntário,Financeiro,167,21128.54,32.64
257,1713,2024-12-05,Voluntário,Inovação,115,41009.1,61.6
258,1723,2022-12-04,Involuntário,Operações,65,20608.19,88.98
259,1726,2024-07-14,Involuntário,Comercial,90,18528.78,13.52
260,1731,2024-02-21,Voluntário,Gente & Gestão,465,13970.16,25.59
261,1741,2024-12-31,Involuntário,Comercial,1,32884.72,55.07
262,1743,2024-07-26,Voluntário,Atendimento,152,24301.67,64.09
263,1749,2024-05-24,Voluntário,Marketing,260,24835.08,26.83
264,1760,2024-12-31,Involuntário,Gente & Gestão,3,23671.14,83.02
265,1764,2024-06-30,Voluntário,Atendimento,45,12119.59,39.98
266,1768,2024-05-16,Voluntário,Atendimento,614,18192.87,35.95
267,1775,2024-07-24,Voluntário,Suporte,327,18303.84,91.81
268,1781,2024-10-13,Involuntário,Comercial,140,7992.41,87.45
269,1782,2024-11-15,Voluntário,Financeiro,512,42182.62,5.42
270,1785,2024-05-27,Involuntário,Atendimento,97,14054.86,87.88
271,1793,2024-03-06,Voluntário,Produto,233,47467.71,0.24
272,1798,2024-01-20,Involuntário,Gente & Gestão,198,10919.42,67.33
273,1799,2024-06-27,Voluntário,Financeiro,595,2034.26,31.24
274,1806,2023-09-08,Involuntário,Financeiro,16,14934.67,92.13
275,1818,2024-04-12,Involuntário,Gente & Gestão,107,7487.96,16.64
276,1829,2023-01-19,Voluntário,Comercial,357,21411.56,20.71
277,1837,2023-10-23,Voluntário,Comercial,398,7470.46,83.79
278,1848,2024-08-01,Involuntário,Inovação,117,12312.67,90.41
279,1850,2023-06-22,Involuntário,Gente & Gestão,160,4601.15,69.11
280,1853,2024-07-26,Voluntário,Gente & Gestão,31,17905.96,92.12
281,1856,2024-02-01,Involuntário,Atendimento,257,33761.37,63.68
282,1863,2024-10-31,Involuntário,Qualidade,47,10587.23,1.16
283,1870,2024-11-14,Voluntário,Suporte,862,27723.29,44.1
284,1875,2024-10-06,Involuntário,Tecnologia,829,22900.62,99.77
285,1877,2023-08-25,Voluntário,Qualidade,374,10318.49,23.86
286,1878,2024-02-21,Involuntário,Inovação,94,19782.96,15.01
287,1885,2023-04-14,Voluntário,Comercial,191,50425.22,37.64
288,1910,2024-09-06,Involuntário,Vendas,26,24043.47,2.17
289,1913,2023-03-30,Voluntário,Suporte,302,29917.96,44.58
290,1933,2023-08-18,Involuntário,Comercial,455,29239.14,36.72
291,1934,2024-12-08,Voluntário,Inovação,3,5462.7,49.6
292,1952,2024-12-09,Voluntário,Inovação,1011,21414.92,39.38
293,1955,2024-06-16,Involuntário,Financeiro,63,30743.64,62.44
294,1969,2024-12-19,Voluntário,Gente & Gestão,68,24365.27,72.87
295,1971,2024-08-25,Involuntário,Comercial,64,27633.73,95.71
296,1973,2023-05-13,Involuntário,Marketing,96,6746.78,15.72
297,1996,2024-06-10,Involuntário,Gente & Gestão,513,12233.04,41.65
298,1998,2023-06-09,Involuntário,Inovação,223,16159.88,7.44
299,2005,2024-12-18,Voluntário,Vendas,48,41477.61,9.24
300,2006,2023-07-31,Voluntário,Inovação,1,13537.25,90.47
301,2009,2023-12-05,Voluntário,Comercial,326,21681.19,81.44
302,2023,2024-08-27,Involuntário,Comercial,50,40732.8,79.5
303,2024,2024-09-08,Voluntário,Inovação,253,32643.69,38.7
304,2025,2024-07-30,Voluntário,Operações,106,2693.15,12.57
305,2027,2024-12-26,Voluntário,Gente & Gestão,4,39981.68,52.23
306,2033,2023-09-17,Voluntário,Inovação,90,3610.53,31.79
307,2036,2024-10-05,Involuntário,Suporte,151,32264.73,1.22
308,2054,2022-05-12,Voluntário,Operações,131,38893.69,92.99
309,2060,2024-07-24,Involuntário,Suporte,163,7600.64,5.73
310,2072,2024-11-08,Voluntário,Vendas,225,53115.33,7.51
311,2074,2024-01-04,Voluntário,Operações,432,15239.31,17.25
312,2077,2024-12-31,Voluntário,Financeiro,6,46777.73,25.35
313,2080,2023-11-01,Involuntário,Qualidade,485,12161.02,43.65
314,2087,2024-01-10,Voluntário,Comercial,282,11021.21,95.23
315,2089,2023-03-17,Voluntário,Operações,64,51361.99,12.63
316,2091,2022-11-25,Voluntário,Produto,76,18725.91,40.03
317,2093,2024-11-03,Voluntário,Operações,29,40488.1,34.77
318,2109,2024-06-08,Voluntário,Comercial,643,16100.71,91.93
319,2112,2024-02-26,Involuntário,Comercial,433,13652.07,49.52
320,2120,2023-10-02,Involuntário,Comercial,435,16792.56,9.85
321,2125,2023-12-01,Voluntário,Atendimento,444,18655.53,0.95
322,2130,2024-07-07,Voluntário,Tecnologia,9,18509.78,9.61
323,2136,2023-10-21,Voluntário,Operações,219,45139.79,93.13
324,2140,2024-08-06,Voluntário,Atendimento,149,40222.44,63.27
325,2147,2023-05-14,Voluntário,Comercial,13,32831.88,4.55
326,2152,2024-05-30,Voluntário,Produto,496,29315.76,32.12
327,2174,2024-12-16,Involuntário,Financeiro,383,11458.13,52.69
328,2179,2024-03-22,Involuntário,Financeiro,8,20962.34,85.87
329,2180,2024-03-17,Voluntário,Produto,143,29906.14,24.04
330,2194,2023-12-26,Voluntário,Suporte,137,20194.39,65.3
331,2197,2024-09-14,Involuntário,Suporte,961,28674.83,9.38
332,2207,2024-07-21,Voluntário,Produto,874,23732.44,36.28
333,2214,2022-11-22,Involuntário,Marketing,248,39600.86,79.7
334,2226,2024-11-25,Involuntário,Inovação,21,51498.85,21.43
335,2235,2024-03-25,Involuntário,Inovação,10,29885.25,62.14
336,2245,2024-12-09,Voluntário,Suporte,72,22981.05,73.78
337,2246,2024-04-23,Involuntário,Marketing,184,6756.32,65.72
338,2250,2023-03-14,Involuntário,Comercial,363,25079.58,15.32
339,2271,2023-02-26,Voluntário,Tecnologia,70,10350.84,39.82
340,2276,2022-06-14,Involuntário,Operações,102,16978.36,60.56
341,2280,2024-01-30,Involuntário,Gente & Gestão,89,21910.33,9.04
342,2286,2024-11-14,Voluntário,Tecnologia,45,7097.25,72.37
343,2289,2024-11-08,Voluntário,Tecnologia,326,17410.7,48.8
344,2291,2024-04-17,Voluntário,Atendimento,14,29019.81,65.61
345,2298,2024-09-28,Voluntário,Atendimento,202,15041.29,15.01
346,2302,2024-10-29,Voluntário,Gente & Gestão,684,21859.4,60.27
347,2305,2024-10-11,Involuntário,Inovação,568,17369.08,24.14
348,2319,2024-04-05,Involuntário,Inovação,42,17337.98,34.62
349,2324,2024-12-01,Voluntário,Atendimento,212,32811.58,34.4
350,2326,2024-11-14,Involuntário,Comercial,110,9729.48,11.61
351,2331,2023-07-30,Involuntário,Tecnologia,535,7762.61,65.27
352,2334,2023-09-04,Involuntário,Operações,507,13389.68,23.25
353,2339,2024-11-08,Voluntário,Inovação,126,14393.64,67.62
354,2343,2024-07-09,Voluntário,Suporte,159,3278.2,3.47
355,2348,2024-02-14,Involuntário,Financeiro,609,9833.92,64.95
356,2354,2024-09-21,Involuntário,Vendas,933,19990.27,34.24
357,2356,2024-02-07,Voluntário,Vendas,338,14488.61,79.36
358,2358,2023-08-16,Voluntário,Tecnologia,232,48364.41,0.22
359,2371,2024-10-08,Involuntário,Tecnologia,589,35927.27,54.74
360,2392,2024-12-31,Voluntário,Vendas,64,41628.34,39.54
361,2393,2024-06-30,Voluntário,Tecnologia,94,15706.45,14.9
362,2394,2023-10-18,Voluntário,Financeiro,534,12569.06,78.49
363,2404,2024-05-05,Involuntário,Financeiro,37,6135.45,10.37
364,2415,2024-02-24,Voluntário,Comercial,676,8368.4,5.07
365,2416,2023-09-26,Voluntário,Tecnologia,16,17048.21,67.64
366,2419,2024-12-10,Voluntário,Produto,6,19693.92,95.47
367,2430,2024-01-29,Voluntário,Tecnologia,296,18747.97,13.94
368,2446,2024-11-29,Involuntário,Comercial,374,6738.2,3.34
369,2447,2024-12-18,Voluntário,Atendimento,31,16605.91,70.39
370,2449,2024-12-15,Voluntário,Vendas,207,47736.52,71.95
371,2451,2024-06-18,Involuntário,Suporte,156,15102.32,48.0
372,2455,2024-11-08,Voluntário,Vendas,540,21185.89,51.92
373,2462,2024-06-07,Voluntário,Comercial,246,13740.01,11.16
374,2470,2024-10-24,Voluntário,Suporte,836,11861.78,64.95
375,2473,2022-03-19,Voluntário,Produto,14,19112.7,6.76
376,2487,2022-09-21,Voluntário,Marketing,110,6487.01,54.35
377,2489,2024-11-29,Voluntário,Produto,35,31057.01,80.41
378,2496,2024-12-16,Involuntário,Produto,554,13496.94,65.0
379,2500,2024-12-25,Voluntário,Comercial,114,6039.13,22.33
380,2501,2024-08-07,Voluntário,Vendas,54,29307.63,39.57
381,2502,2024-03-26,Voluntário,Comercial,157,5561.34,85.63
382,2508,2024-12-21,Voluntário,Qualidade,452,7777.09,91.82
383,2514,2023-12-29,Voluntário,Comercial,660,10773.61,20.45
384,2516,2024-10-07,Voluntário,Atendimento,68,3911.32,51.12
385,2524,2023-12-28,Voluntário,Tecnologia,184,29797.5,32.2
386,2537,2024-12-28,Voluntário,Suporte,26,29892.99,49.22
387,2545,2023-12-14,Voluntário,Vendas,170,28287.28,21.92
388,2551,2023-07-26,Voluntário,Produto,72,13484.25,32.11
389,2556,2024-10-20,Involuntário,Suporte,61,7628.92,38.13
390,2559,2024-01-15,Voluntário,Tecnologia,427,24790.6,66.25
391,2560,2024-12-04,Involuntário,Marketing,52,15613.1,57.31
392,2576,2024-10-21,Voluntário,Marketing,9,45792.55,98.92
393,2577,2024-12-28,Involuntário,Gente & Gestão,303,10668.86,24.49
394,2580,2023-01-16,Voluntário,Gente & Gestão,211,21744.79,5.71
395,2581,2024-06-23,Voluntário,Suporte,250,6732.11,77.4
396,2589,2023-05-02,Voluntário,Financeiro,441,15572.71,41.42
397,2590,2024-12-08,Voluntário,Tecnologia,104,3620.23,1.46
398,2601,2024-12-29,Voluntário,Atendimento,505,8487.74,14.39
399,2609,2023-04-02,Involuntário,Vendas,99,29653.89,69.28
400,2622,2023-11-21,Involuntário,Marketing,131,36148.4,24.38
401,2623,2024-07-28,Voluntário,Qualidade,369,14451.04,42.46
402,2625,2024-04-14,Voluntário,Marketing,169,26809.9,33.53
403,2637,2024-11-30,Involuntário,Gente & Gestão,913,49400.22,62.43
404,2639,2023-12-08,Involuntário,Financeiro,62,51734.36,90.65
